team,Zone,TI_for,Shots_F,GF,Shots_A(own),GA(own),Possession_duration,xT_gen,TI_against,Shots_F(opp),Shots_A(opp),Shots_A,GA,duration_against,xT_allowed
184,1,150,3,1,0,0,6.0,0.004959369999999999,188,3,0,13,1,10.0,0.004854970000000001
184,2,337,28,1,1,0,12.0,0.00873785,344,3,1,45,4,15.0,0.006485330000000001
184,3,234,15,1,0,0,11.5,0.003075179999999997,264,0,0,40,1,10.0,0.0014792499999999997
32,1,186,11,2,2,0,10.0,0.005233125000000001,179,2,0,8,0,8.0,0.004959369999999999
32,2,286,25,3,0,0,19.0,0.00995862,247,1,0,19,1,10.0,0.0065646099999999985
32,3,288,42,4,0,0,13.0,0.005819199999999997,222,0,0,28,4,11.5,0.003075179999999997
24,1,180,12,2,2,0,10.0,0.005842740000000001,178,2,0,14,3,7.0,0.004068810000000001
24,2,322,24,2,2,0,11.0,0.0065646099999999985,302,1,0,25,3,11.0,0.00872294
24,3,278,39,2,0,0,10.0,0.0027939199999999983,255,0,0,35,1,10.5,0.007287600000000002
167,1,148,18,2,3,0,12.0,0.00729053,152,2,1,6,1,8.0,0.00447944
167,2,297,40,5,0,0,23.5,0.00938644,233,2,1,12,0,12.0,0.006485330000000001
167,3,211,35,5,0,0,18.5,0.0019695999999999984,147,0,0,12,1,16.0,0.0
18,1,169,4,1,0,0,8.0,0.004068810000000001,175,4,0,10,1,11.0,0.00489558
18,2,402,23,3,1,0,10.0,0.00622003,401,1,0,25,2,12.5,0.006485330000000001
18,3,238,20,2,1,0,8.0,0.002630199999999999,297,0,0,43,5,10.0,0.003075179999999997
162,1,198,5,1,0,0,6.0,0.004830300000000001,149,0,0,6,1,7.5,0.00451469
162,2,349,23,2,1,0,9.5,0.0061879299999999995,346,1,0,23,3,14.0,0.00995862
162,3,225,21,1,0,0,8.0,0.0009889000000000009,320,0,0,47,5,12.0,0.0029011099999999984
13,1,183,17,3,2,0,11.5,0.00489558,173,1,0,7,1,9.0,0.005842740000000001
13,2,243,14,2,1,1,18.0,0.0068678800000000016,279,1,0,22,1,15.0,0.008088650000000001
13,3,237,31,2,0,0,15.0,0.0029011099999999984,205,2,0,26,1,17.0,0.003075179999999997
170,1,189,11,0,0,0,9.0,0.005396860000000002,196,2,0,9,0,8.0,0.00489558
170,2,342,25,1,1,0,11.0,0.007440799999999999,331,0,0,21,3,14.0,0.00873785
