match_id,index,possession_team,minute,second,player,x,y,endX,endY,end_action,end_team,eventendX,eventendY,duration,length,opposition_team,event_type
0,15,184,1,6.0,Erik Pieters,60.0,100.0,78.0,93.5,Pass,32,40.2,65.1,13.0,7,32,"[90, 116, 29, 34, 36, 214, 217]"
0,31,32,1,47.0,Bruno Fernandes,60.4,0.0,41.2,5.5,Foul,32,40.6,9.2,19.0,6,184,"[90, 62]"
0,84,32,3,59.0,Aaron Wan-Bissaka,63.7,0.0,66.0,9.2,BallRecovery,184,36.4,73.4,5.0,3,184,[92]
0,152,184,7,24.0,Erik Pieters,38.1,100.0,37.5,89.1,Foul,32,57.8,10.6,19.0,10,32,"[90, 62]"
0,194,184,10,17.0,Erik Pieters,67.5,100.0,81.5,85.1,Pass,32,32.1,13.2,16.0,11,32,"[90, 116, 29, 34, 36, 214, 217]"
0,385,184,24,12.0,Erik Pieters,9.4,100.0,32.6,96.5,Pass,32,68.3,22.5,7.0,4,32,"[90, 118, 116, 29, 34, 36, 215, 217]"
0,398,184,25,26.0,Erik Pieters,31.0,100.0,23.2,90.6,CornerAwarded,32,2.6,17.5,13.0,5,32,[121]
0,489,32,36,25.0,Bruno Fernandes,30.1,0.0,27.8,11.2,Interception,184,58.3,96.5,5.0,3,184,"[90, 100, 55]"
0,493,32,36,53.0,Aaron Wan-Bissaka,45.4,0.0,35.8,6.0,SavedShot,32,91.2,48.5,52.0,25,184,"[90, 9, 1, 3, 10, 11]"
0,542,32,40,38.0,Marcus Rashford,51.5,0.0,39.1,5.6,Foul,32,28.4,39.3,87.0,16,184,"[90, 62]"
0,649,184,47,26.0,Erik Pieters,64.6,100.0,62.4,92.3,Interception,32,30.6,3.1,4.0,5,32,"[90, 100, 55]"
0,667,32,48,5.0,Aaron Wan-Bissaka,33.5,0.0,27.3,11.3,End,32,0.0,0.0,60.0,17,184,[]
0,696,184,45,19.0,Matthew Lowton,52.6,0.0,56.6,10.6,BallTouch,32,36.0,96.6,5.0,5,32,[90]
0,702,184,45,33.0,Matthew Lowton,60.7,0.0,65.1,11.0,BallRecovery,32,24.4,76.7,6.0,6,32,[92]
0,743,184,47,31.0,Matthew Lowton,1.8,0.0,7.9,4.9,Pass,184,4.8,4.3,2.0,2,32,"[90, 117, 119, 127, 35, 37, 214, 217]"
0,746,32,47,47.0,Luke Shaw,68.8,100.0,69.9,92.3,SavedShot,32,73.8,33.6,49.0,22,184,"[90, 9, 2, 3, 10, 11]"
0,770,32,48,55.0,Aaron Wan-Bissaka,95.5,0.0,95.1,14.1,Foul,184,7.0,81.6,8.0,5,184,"[90, 62]"
0,792,184,50,6.0,Erik Pieters,82.0,100.0,90.5,87.3,Tackle,32,9.8,9.6,4.0,5,32,"[90, 142]"
0,798,184,50,24.0,Erik Pieters,88.1,100.0,85.5,89.1,KeeperPickup,32,2.9,51.6,4.0,3,32,[92]
0,838,184,52,4.0,Erik Pieters,23.6,100.0,28.9,92.4,Interception,32,16.3,45.7,26.0,17,32,"[90, 100, 101, 55]"
0,885,184,54,29.0,Erik Pieters,31.9,100.0,38.7,91.7,BallRecovery,32,45.3,17.9,2.0,2,32,[92]
0,903,32,55,23.0,Aaron Wan-Bissaka,78.2,0.0,74.9,8.3,SavedShot,32,78.9,36.1,18.0,8,184,"[90, 8, 9, 2, 3, 12]"
0,1080,184,65,30.0,Erik Pieters,45.0,100.0,28.4,88.1,Pass,32,23.6,30.3,8.0,3,32,"[90, 116, 29, 138, 35, 36, 214, 217]"
0,1100,32,67,18.0,Aaron Wan-Bissaka,30.9,0.0,43.4,13.8,BallRecovery,184,10.3,58.4,30.0,12,184,[92]
0,1213,32,73,7.0,Luke Shaw,76.5,100.0,81.8,84.4,Foul,184,39.3,7.2,18.0,9,184,"[90, 62]"
0,1234,184,74,43.0,Erik Pieters,69.7,100.0,61.2,94.2,Tackle,32,10.9,90.4,20.0,8,32,"[90, 142]"
0,1243,184,75,19.0,Matthew Lowton,85.0,0.0,94.0,7.1,BlockedPass,32,17.1,93.0,4.0,5,32,"[90, 59]"
0,1249,184,75,38.0,Matthew Lowton,85.8,0.0,93.1,7.1,KeeperPickup,32,5.8,50.4,43.0,21,32,[92]
0,1318,32,79,55.0,Aaron Wan-Bissaka,70.0,0.0,68.6,8.0,BlockedPass,184,42.0,99.3,3.0,3,184,"[90, 59]"
0,1322,32,80,8.0,Aaron Wan-Bissaka,62.4,0.0,59.8,7.6,Foul,32,53.6,8.3,3.0,1,184,"[90, 62]"
0,1329,184,80,42.0,Erik Pieters,34.2,100.0,42.7,92.5,OffsideGiven,184,73.7,84.6,,10,32,[60]
0,1448,32,88,46.0,Luke Shaw,37.1,100.0,54.6,83.5,Foul,32,58.8,83.1,1.0,1,184,"[90, 62]"
0,1488,184,92,41.0,Erik Pieters,70.2,100.0,58.0,95.1,BallRecovery,32,31.1,31.2,10.0,4,32,[92]
0,1510,184,94,46.0,Matthew Lowton,75.7,0.0,63.8,23.0,MissedShots,184,86.9,63.7,11.0,4,32,"[90, 6, 89, 9, 1, 3, 11]"
0,1525,184,97,11.0,Matthew Lowton,22.8,0.0,21.9,8.6,Pass,32,64.4,81.2,4.0,2,32,"[90, 119, 28, 138, 35, 36, 216, 217]"
0,1528,184,97,23.0,Matthew Lowton,28.7,0.0,32.3,7.3,End,32,0.0,0.0,2.0,1,32,[]
1,11,24,0,36.0,Matthew Cash,49.0,0.0,34.3,10.8,Pass,167,44.8,67.9,8.0,3,167,"[90, 118, 116, 29, 138, 35, 36, 215, 217]"
1,74,24,4,40.0,Matt Targett,87.2,100.0,86.5,94.8,BallTouch,167,15.4,9.4,2.0,3,167,[90]
1,116,24,6,43.0,Matthew Cash,42.4,0.0,25.2,10.3,BallTouch,167,2.8,35.4,17.0,5,167,[90]
1,130,167,7,27.0,João Cancelo,80.7,100.0,79.7,93.6,BallRecovery,24,18.0,72.6,22.0,15,24,[92]
1,168,24,9,10.0,Matt Targett,47.4,100.0,53.3,83.3,Interception,167,15.0,51.5,26.0,12,167,"[90, 100, 101, 55]"
1,280,167,15,4.0,Kyle Walker,19.1,0.0,31.2,17.9,Interception,24,67.8,80.5,2.0,1,24,"[90, 100, 55]"
1,311,167,17,3.0,Kyle Walker,34.2,0.0,15.2,6.5,BallTouch,24,74.8,96.8,39.0,11,24,[90]
1,323,167,18,16.0,Kyle Walker,25.1,0.0,32.8,7.4,BallRecovery,24,67.5,85.4,3.0,3,24,[92]
1,341,24,20,45.0,Matt Targett,18.4,100.0,36.6,96.8,Tackle,167,63.4,15.5,6.0,5,167,"[90, 142]"
1,577,24,36,19.0,Matt Targett,71.5,100.0,73.4,89.4,SavedShot,24,81.5,68.4,11.0,6,167,"[90, 8, 9, 2, 3, 11]"
1,650,24,41,3.0,Matthew Cash,45.7,0.0,32.8,10.4,Pass,24,25.9,48.4,5.0,2,167,"[90, 117, 119, 123, 127, 35, 36, 215, 217]"
1,653,167,41,16.0,João Cancelo,47.6,0.0,38.0,8.1,KeeperPickup,24,3.3,46.7,25.0,8,24,[92]
1,695,167,43,33.0,Oleksandr Zinchenko,36.5,100.0,36.9,89.4,BallTouch,24,40.1,50.9,28.0,7,24,[90]
1,746,167,46,10.0,Oleksandr Zinchenko,66.5,100.0,62.9,89.7,Claim,24,4.1,46.9,25.0,6,24,"[90, 92, 103]"
1,811,167,47,10.0,Oleksandr Zinchenko,73.3,100.0,69.0,90.5,KeeperPickup,24,2.5,51.6,81.0,34,24,[92]
1,858,167,49,27.0,Oleksandr Zinchenko,38.4,100.0,40.6,91.8,MissedShots,167,86.6,65.8,35.0,14,24,"[90, 6, 89, 9, 1, 3, 11]"
1,989,167,56,30.0,Bernardo Silva,79.3,0.0,64.9,6.4,Interception,24,27.5,6.4,11.0,5,24,"[90, 100, 55]"
1,995,167,56,53.0,Oleksandr Zinchenko,68.4,100.0,70.4,90.9,Interception,24,25.0,5.5,2.0,3,24,"[90, 100, 55]"
1,1014,167,59,0.0,João Cancelo,61.8,0.0,41.9,9.2,Clearance,24,8.4,40.0,21.0,8,24,"[90, 93, 94, 214]"
1,1242,24,74,23.0,Matthew Cash,45.1,0.0,26.1,12.0,OffsideGiven,24,60.4,94.7,,11,167,[60]
1,1254,24,75,21.0,Matthew Cash,86.0,0.0,90.2,7.9,MissedShots,24,88.2,46.6,5.0,5,167,"[90, 6, 89, 9, 1, 3, 13]"
1,1287,24,77,22.0,Neil Taylor,19.2,100.0,27.8,93.2,Foul,24,28.4,76.3,4.0,2,167,"[90, 62]"
1,1296,167,78,13.0,Oleksandr Zinchenko,31.3,100.0,36.0,94.4,Goal,167,82.2,48.8,25.0,18,24,"[90, 23, 8, 9, 2, 3, 12, 17, 18, 25]"
1,1323,24,80,51.0,Matthew Cash,41.4,0.0,27.1,10.0,Pass,167,35.2,72.9,18.0,9,167,"[90, 116, 29, 138, 35, 36, 215, 217]"
1,1355,24,82,27.0,Matthew Cash,68.8,0.0,54.9,6.8,Pass,167,53.2,14.0,34.0,12,167,"[90, 116, 29, 138, 34, 36, 215, 217]"
1,1403,24,84,29.0,Matthew Cash,13.2,0.0,17.1,8.5,Pass,167,62.8,88.7,5.0,3,167,"[90, 118, 116, 29, 138, 35, 37, 215, 217]"
1,1445,167,87,39.0,Oleksandr Zinchenko,41.9,100.0,56.0,96.5,SavedShot,167,74.6,35.7,16.0,5,24,"[90, 8, 9, 2, 3, 11]"
2,13,18,0,27.0,Kyle Walker-Peters,56.5,0.0,54.2,9.7,BallRecovery,162,14.1,90.5,42.0,11,162,[92]
2,35,18,1,57.0,Kyle Walker-Peters,67.6,0.0,66.5,9.2,Tackle,162,28.9,93.6,3.0,4,162,"[90, 142]"
2,47,18,2,37.0,Kyle Walker-Peters,78.5,0.0,82.5,15.2,CornerAwarded,162,2.4,89.0,4.0,3,162,[121]
2,100,18,5,26.0,Kyle Walker-Peters,56.3,0.0,41.0,6.7,BallTouch,162,13.5,30.5,38.0,13,162,[90]
2,171,162,9,5.0,Joel Ward,54.4,0.0,52.0,8.6,Tackle,18,25.1,61.0,5.0,4,18,"[90, 142]"
2,185,162,11,4.0,Tyrick Mitchell,54.1,100.0,84.1,67.8,KeeperPickup,18,15.4,36.3,10.0,1,18,[92]
2,194,18,11,46.0,Kyle Walker-Peters,52.6,0.0,71.4,7.6,Foul,18,62.4,33.4,10.0,12,162,"[90, 62]"
2,250,162,15,23.0,Joel Ward,26.5,0.0,44.4,3.4,Foul,162,38.3,17.2,5.0,6,18,"[90, 62]"
2,295,162,18,11.0,Tyrick Mitchell,79.2,100.0,83.4,96.6,BallRecovery,18,23.3,8.3,1.0,2,18,[92]
2,311,18,19,4.0,Kyle Walker-Peters,72.0,0.0,51.4,8.2,Foul,18,61.4,2.7,8.0,5,162,"[90, 62]"
2,342,162,20,43.0,Tyrick Mitchell,82.5,100.0,92.1,98.3,BallTouch,18,14.2,2.1,21.0,10,18,"[90, 68]"
2,353,162,21,11.0,Tyrick Mitchell,88.1,100.0,97.8,80.6,Clearance,18,2.3,18.4,2.0,2,18,"[90, 58]"
